pos,scaled_pos,time,intensity
-14997.0,-0.03209358,-98395317.0,0.0344
-14909.0,-0.03190526,-97817949.0,0.0333
-14829.0,-0.031734059999999994,-97293069.0,0.0319
-14760.0,-0.0315864,-96840360.0,0.0316
-14669.0,-0.031391659999999995,-96243309.0,0.0314
-14589.0,-0.03122046,-95718429.0,0.0314
-14509.0,-0.03104926,-95193549.0,0.0313
-14434.0,-0.030888759999999998,-94701474.0,0.0313
-14350.0,-0.030708999999999997,-94150350.0,0.0314
-14277.0,-0.030552779999999998,-93671397.0,0.0313
-14191.0,-0.030368739999999998,-93107151.0,0.0312
-14108.0,-0.03019112,-92562588.0,0.0312
-14029.0,-0.030022059999999996,-92044269.0,0.0314
-13949.0,-0.029850859999999996,-91519389.0,0.0317
-13868.0,-0.02967752,-90987948.0,0.0318
-13795.0,-0.029521299999999997,-90508995.0,0.0318
-13713.0,-0.029345819999999998,-89970993.0,0.032
-13629.0,-0.029166059999999997,-89419869.0,0.0321
-13549.0,-0.028994859999999997,-88894989.0,0.0326
-13479.0,-0.02884506,-88435719.0,0.0326
-13389.0,-0.028652459999999998,-87845229.0,0.0323
-13309.0,-0.028481259999999998,-87320349.0,0.0326
-13227.0,-0.02830578,-86782347.0,0.0325
-13137.0,-0.028113179999999998,-86191857.0,0.0324
-13070.0,-0.0279698,-85752270.0,0.0324
-12989.0,-0.02779646,-85220829.0,0.0325
-12909.0,-0.02762526,-84695949.0,0.0326
-12829.0,-0.02745406,-84171069.0,0.032
-12754.0,-0.027293559999999998,-83678994.0,0.0326
-12670.0,-0.027113799999999997,-83127870.0,0.0327
-12594.0,-0.02695116,-82629234.0,0.0329
-12508.0,-0.02676712,-82064988.0,0.0333
-12434.0,-0.02660876,-81579474.0,0.0332
-12352.0,-0.026433279999999997,-81041472.0,0.0336
-12272.0,-0.026262079999999997,-80516592.0,0.0339
-12191.0,-0.02608874,-79985151.0,0.0339
-12109.0,-0.025913259999999997,-79447149.0,0.0343
-12028.0,-0.02573992,-78915708.0,0.0341
-11949.0,-0.025570859999999997,-78397389.0,0.0343
-11869.0,-0.025399659999999998,-77872509.0,0.0346
-11789.0,-0.025228459999999998,-77347629.0,0.0347
-11709.0,-0.025057259999999998,-76822749.0,0.0352
-11637.0,-0.024903179999999997,-76350357.0,0.035
-11557.0,-0.024731979999999997,-75825477.0,0.0351
-11469.0,-0.02454366,-75248109.0,0.0355
-11398.0,-0.02439172,-74782278.0,0.0357
-11309.0,-0.02420126,-74198349.0,0.0361
-11229.0,-0.02403006,-73673469.0,0.0365
-11149.0,-0.02385886,-73148589.0,0.0366
-11077.0,-0.023704779999999998,-72676197.0,0.0371
-10989.0,-0.02351646,-72098829.0,0.0375
-10915.0,-0.0233581,-71613315.0,0.0378
-10829.0,-0.02317406,-71049069.0,0.0379
-10756.0,-0.023017839999999998,-70570116.0,0.0384
-10669.0,-0.022831659999999997,-69999309.0,0.0385
-10589.0,-0.022660459999999997,-69474429.0,0.0392
-10509.0,-0.022489259999999997,-68949549.0,0.0394
-10436.0,-0.02233304,-68470596.0,0.0399
-10356.0,-0.02216184,-67945716.0,0.0401
-10269.0,-0.021975659999999998,-67374909.0,0.0408
-10189.0,-0.021804459999999998,-66850029.0,0.0416
-10115.0,-0.021646099999999998,-66364515.0,0.042
-10029.0,-0.021462059999999998,-65800269.0,0.043
-9956.0,-0.02130584,-65321316.0,0.0431
-9869.0,-0.02111966,-64750509.0,0.0437
-9789.0,-0.02094846,-64225629.0,0.0444
-9718.0,-0.02079652,-63759798.0,0.0446
-9634.0,-0.020616759999999998,-63208674.0,0.0451
-9549.0,-0.02043486,-62650989.0,0.0455
-9468.0,-0.020261519999999998,-62119548.0,0.0471
-9389.0,-0.02009246,-61601229.0,0.0474
-9318.0,-0.01994052,-61135398.0,0.0483
-9229.0,-0.01975006,-60551469.0,0.0489
-9156.0,-0.019593839999999998,-60072516.0,0.0499
-9077.0,-0.01942478,-59554197.0,0.0507
-8989.0,-0.019236459999999997,-58976829.0,0.0511
-8914.0,-0.01907596,-58484754.0,0.0519
-8834.0,-0.01890476,-57959874.0,0.0528
-8747.0,-0.01871858,-57389067.0,0.0535
-8669.0,-0.018551659999999998,-56877309.0,0.0547
-8597.0,-0.01839758,-56404917.0,0.0562
-8508.0,-0.01820712,-55820988.0,0.0575
-8429.0,-0.018038059999999998,-55302669.0,0.0585
-8349.0,-0.01786686,-54777789.0,0.0608
-8270.0,-0.0176978,-54259470.0,0.0617
-8189.0,-0.01752446,-53728029.0,0.0624
-8119.0,-0.01737466,-53268759.0,0.0635
