pos,scaled_pos,time,intensity
-24985.0,-0.0534679,-163926585.0,0.0366
-24903.0,-0.05329241999999999,-163388583.0,0.0358
-24825.0,-0.0531255,-162876825.0,0.0358
-24754.0,-0.052973559999999996,-162410994.0,0.0356
-24661.0,-0.052774539999999995,-161800821.0,0.0354
-24581.0,-0.05260334,-161275941.0,0.0353
-24501.0,-0.052432139999999995,-160751061.0,0.0353
-24421.0,-0.05226094,-160226181.0,0.035
-24345.0,-0.05209829999999999,-159727545.0,0.035
-24265.0,-0.0519271,-159202665.0,0.035
-24182.0,-0.051749479999999994,-158658102.0,0.035
-24101.0,-0.05157614,-158126661.0,0.035
-24021.0,-0.051404939999999996,-157601781.0,0.035
-23944.0,-0.05124015999999999,-157096584.0,0.035
-23864.0,-0.05106896,-156571704.0,0.035
-23783.0,-0.050895619999999996,-156040263.0,0.035
-23704.0,-0.05072656,-155521944.0,0.035
-23625.0,-0.0505575,-155003625.0,0.035
-23549.0,-0.05039486,-154504989.0,0.035
-23465.0,-0.0502151,-153953865.0,0.035
-23390.0,-0.0500546,-153461790.0,0.035
-23313.0,-0.049889819999999994,-152956593.0,0.035
-23223.0,-0.04969721999999999,-152366103.0,0.0351
-23144.0,-0.049528159999999995,-151847784.0,0.0351
-23065.0,-0.049359099999999996,-151329465.0,0.035
-22985.0,-0.0491879,-150804585.0,0.0347
-22901.0,-0.04900814,-150253461.0,0.0347
-22821.0,-0.048836939999999995,-149728581.0,0.0347
-22742.0,-0.04866788,-149210262.0,0.0347
-22661.0,-0.048494539999999996,-148678821.0,0.0347
-22584.0,-0.04832976,-148173624.0,0.0347
-22500.0,-0.04815,-147622500.0,0.0347
-22419.0,-0.04797666,-147091059.0,0.0347
-22341.0,-0.047809739999999996,-146579301.0,0.0347
-22262.0,-0.04764068,-146060982.0,0.0347
-22182.0,-0.047469479999999994,-145536102.0,0.0347
-22106.0,-0.047306839999999996,-145037466.0,0.0347
-22029.0,-0.04714206,-144532269.0,0.0347
-21942.0,-0.04695588,-143961462.0,0.0351
-21865.0,-0.046791099999999995,-143456265.0,0.0351
-21780.0,-0.046609199999999996,-142898580.0,0.0352
-21701.0,-0.04644014,-142380261.0,0.0352
-21621.0,-0.046268939999999995,-141855381.0,0.0353
-21544.0,-0.04610416,-141350184.0,0.0353
-21461.0,-0.045926539999999995,-140805621.0,0.0353
-21380.0,-0.045753199999999994,-140274180.0,0.0353
-21300.0,-0.045582,-139749300.0,0.0353
-21221.0,-0.04541294,-139230981.0,0.0353
-21140.0,-0.0452396,-138699540.0,0.0353
-21060.0,-0.045068399999999995,-138174660.0,0.0353
-20983.0,-0.04490362,-137669463.0,0.0353
-20904.0,-0.04473456,-137151144.0,0.0353
-20821.0,-0.044556939999999996,-136606581.0,0.0353
-20740.0,-0.044383599999999995,-136075140.0,0.0353
-20661.0,-0.04421454,-135556821.0,0.0353
-20583.0,-0.044047619999999996,-135045063.0,0.0353
-20508.0,-0.043887119999999995,-134552988.0,0.0353
-20428.0,-0.04371592,-134028108.0,0.0353
-20343.0,-0.04353402,-133470423.0,0.0353
-20267.0,-0.043371379999999994,-132971787.0,0.0353
-20183.0,-0.04319162,-132420663.0,0.0353
-20102.0,-0.04301828,-131889222.0,0.0353
-20022.0,-0.042847079999999996,-131364342.0,0.0353
-19946.0,-0.04268444,-130865706.0,0.0353
-19867.0,-0.04251538,-130347387.0,0.0353
-19788.0,-0.04234632,-129829068.0,0.0353
-19707.0,-0.04217298,-129297627.0,0.0353
-19622.0,-0.04199108,-128739942.0,0.0354
-19560.0,-0.0418584,-128333160.0,0.0354
-19466.0,-0.04165724,-127716426.0,0.0354
-19387.0,-0.04148818,-127198107.0,0.0354
-19307.0,-0.041316979999999996,-126673227.0,0.0355
-19227.0,-0.04114578,-126148347.0,0.0355
-19144.0,-0.040968159999999997,-125603784.0,0.0351
-19059.0,-0.04078626,-125046099.0,0.0355
-18984.0,-0.04062576,-124554024.0,0.0357
-18904.0,-0.040454559999999994,-124029144.0,0.0358
-18822.0,-0.040279079999999995,-123491142.0,0.036
-18744.0,-0.040112159999999994,-122979384.0,0.036
-18679.0,-0.03997306,-122552919.0,0.036
-18584.0,-0.039769759999999994,-121929624.0,0.0354
-18505.0,-0.039600699999999996,-121411305.0,0.0353
-18423.0,-0.03942522,-120873303.0,0.0355
-18341.0,-0.03924974,-120335301.0,0.0353
-18274.0,-0.03910636,-119895714.0,0.0352
-18182.0,-0.038909479999999996,-119292102.0,0.0353
-18101.0,-0.038736139999999995,-118760661.0,0.0352
-18022.0,-0.03856708,-118242342.0,0.0353
-17941.0,-0.038393739999999996,-117710901.0,0.0352
-17863.0,-0.038226819999999995,-117199143.0,0.0352
-17780.0,-0.0380492,-116654580.0,0.0352
-17701.0,-0.03788014,-116136261.0,0.0352
-17622.0,-0.037711079999999994,-115617942.0,0.0352
-17542.0,-0.03753988,-115093062.0,0.0352
-17459.0,-0.037362259999999994,-114548499.0,0.0352
-17389.0,-0.037212459999999996,-114089229.0,0.0352
-17302.0,-0.037026279999999995,-113518422.0,0.035
-17220.0,-0.036850799999999996,-112980420.0,0.0355
-17140.0,-0.0366796,-112455540.0,0.0355
-17065.0,-0.0365191,-111963465.0,0.0357
-16982.0,-0.036341479999999995,-111418902.0,0.0358
-16909.0,-0.03618526,-110939949.0,0.0358
-16819.0,-0.035992659999999996,-110349459.0,0.0358
-16741.0,-0.035825739999999995,-109837701.0,0.0353
-16667.0,-0.03566738,-109352187.0,0.0353
-16588.0,-0.03549832,-108833868.0,0.0352
-16506.0,-0.035322839999999994,-108295866.0,0.0351
